text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
Congratulations to the team behind "Mainstream," which premiered at #Venezia77 this week. Shot by cinematographer A… https://t.co/XFs1ZWfDIv;FALSE;12;;2020-09-11 21:20:02;TRUE;;1304530165008138241;;<a href="https://sproutsocial.com" rel="nofollow">Sprout Social</a>;Panavision;2;FALSE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 21:17:45;FALSE;;1304529587792211970;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;SaenzVarona;42;TRUE;FALSE;;
#BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;137;;2020-09-11 21:15:26;FALSE;;1304529006755278850;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;la_Biennale;42;FALSE;FALSE;;
RT @sugarpulp: People from Venezia

#venezia77 #sugarpulpsapartment https://t.co/7ur4itJ59c;FALSE;0;;2020-09-11 21:08:14;FALSE;;1304527191963832321;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;SottopassoStua;1;TRUE;FALSE;;
People from Venezia

#venezia77 #sugarpulpsapartment https://t.co/7ur4itJ59c;FALSE;6;;2020-09-11 21:05:49;FALSE;;1304526585136062466;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;sugarpulp;1;FALSE;FALSE;;
RT @OnTheLido: The @FIPRESCI Prize for competition goes to THE DISCIPLE!
#Venezia77;FALSE;0;;2020-09-11 21:05:29;FALSE;;1304526501367353345;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;rahook2;63;TRUE;FALSE;;
